,path,emotion
94,data/emodb/wav\13b03Na.wav,neutral
95,data/emodb/wav\13b09Ab.wav,fear
96,data/emodb/wav\13b09Na.wav,neutral
97,data/emodb/wav\13b10Nc.wav,neutral
98,data/emodb/wav\14a01Aa.wav,fear
99,data/emodb/wav\14a01Ac.wav,fear
100,data/emodb/wav\14a01Na.wav,neutral
101,data/emodb/wav\14a02Ab.wav,fear
102,data/emodb/wav\14a02Nc.wav,neutral
103,data/emodb/wav\14a04Aa.wav,fear
104,data/emodb/wav\14a05Aa.wav,fear
105,data/emodb/wav\14a05Ac.wav,fear
106,data/emodb/wav\14a05Na.wav,neutral
107,data/emodb/wav\14a07Aa.wav,fear
108,data/emodb/wav\14a07Na.wav,neutral
109,data/emodb/wav\14b01Ac.wav,fear
110,data/emodb/wav\14b01Na.wav,neutral
111,data/emodb/wav\14b02Aa.wav,fear
112,data/emodb/wav\14b02Na.wav,neutral
113,data/emodb/wav\14b03Ad.wav,fear
114,data/emodb/wav\14b09Ac.wav,fear
115,data/emodb/wav\14b10Ad.wav,fear
116,data/emodb/wav\14b10Nb.wav,neutral
117,data/emodb/wav\15a01Nb.wav,neutral
